#,weapon_type,firearm_caliber,weapon_description,trr_report_id
2638,HANDS/FISTS,,,101294
2639,FIREARM - SEMI-AUTOMATIC,380 ACP,,101296
2640,FIREARM - SEMI-AUTOMATIC,380 ACP,,101297
2641,VERBAL THREAT (ASSAULT),,,101298
2642,"MOUTH (SPIT,BITE,ETC)",,,101299
2643,VERBAL THREAT (ASSAULT),,,101303
2644,BLUNT INSTRUMENT,,MOP HANDLE,101309
2645,VERBAL THREAT (ASSAULT),,,101310
2646,VERBAL THREAT (ASSAULT),,,101313
2647,HANDS/FISTS,,,101314
2648,OTHER (SPECIFY),,HANDCUFFS,101316
2649,HANDS/FISTS,,,101317
2650,OTHER (SPECIFY),,HAND CUFFS,101317
2651,OTHER (SPECIFY),,HANDCUFFS,101317
2652,HANDS/FISTS,,,101318
2653,"MOUTH (SPIT,BITE,ETC)",,,101318
2654,VERBAL THREAT (ASSAULT),,,101318
2655,HANDS/FISTS,,,101324
2656,OTHER (SPECIFY),,VEHICLE,101324
2657,VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,,101324
2658,OTHER (SPECIFY),,VEHICLE,101325
2659,VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,,101325
2660,FEET,,,101327
2661,HANDS/FISTS,,,101332
2662,KNIFE/OTHER CUTTING INSTRUMENT,,,101335
2663,"MOUTH (SPIT,BITE,ETC)",,,101335
2664,KNIFE/OTHER CUTTING INSTRUMENT,,,101336
2665,FEET,,,101338
2666,OTHER (SPECIFY),,HEAD,101338
2667,VERBAL THREAT (ASSAULT),,,101338
2668,KNIFE/OTHER CUTTING INSTRUMENT,,,101340
2669,KNIFE/OTHER CUTTING INSTRUMENT,,,101342
2670,HANDS/FISTS,,,101344
2671,VERBAL THREAT (ASSAULT),,,101344
2672,HANDS/FISTS,,,101346
2673,"MOUTH (SPIT,BITE,ETC)",,,101346
2674,OTHER (SPECIFY),,CIGARRETTE,101347
2675,VERBAL THREAT (ASSAULT),,,101350
2676,VERBAL THREAT (ASSAULT),,,101351
2677,FEET,,,101352
2678,HANDS/FISTS,,,101352
2679,"MOUTH (SPIT,BITE,ETC)",,,101352
2680,FIREARM - SEMI-AUTOMATIC, 9 MM,SPRINGFILED 9MM ,101356
2681,OTHER (SPECIFY),,"PUSHED, PULLED, WRESTLED",101357
2682,BLUNT INSTRUMENT,,GLASS LIQUOR BOTTLE,101359
2683,BLUNT INSTRUMENT,,GLASS LIQUOR BOTTLE,101360
2684,VERBAL THREAT (ASSAULT),,,101365
2685,OTHER (SPECIFY),,SWINGING BOTH FIST,101366
2686,HANDS/FISTS,,,101376
2687,OTHER (SPECIFY),,WRESTLED,101376
2688,FIREARM - SEMI-AUTOMATIC,40 S&W,,101378
2689,HANDS/FISTS,,,101386
2690,OTHER (SPECIFY),,THREATENED TO KILL PO,101386
2691,VERBAL THREAT (ASSAULT),,,101386
2692,"MOUTH (SPIT,BITE,ETC)",,,101387
2693,HANDS/FISTS,,,101395
2694,OTHER (SPECIFY),,HEADBUTT,101399
2695,VERBAL THREAT (ASSAULT),,,101399
2696,"MOUTH (SPIT,BITE,ETC)",,,101410
2697,VERBAL THREAT (ASSAULT),,,101410
2698,HANDS/FISTS,,,101414
2699,VERBAL THREAT (ASSAULT),,,101419
2700,FEET,,,101420
2701,VERBAL THREAT (ASSAULT),,,101420
2702,HANDS/FISTS,,,101423
2703,"MOUTH (SPIT,BITE,ETC)",,,101423
2704,VERBAL THREAT (ASSAULT),,,101423
2705,HANDS/FISTS,,,101430
2706,VERBAL THREAT (ASSAULT),,,101430
2707,HANDS/FISTS,,,101431
2708,VERBAL THREAT (ASSAULT),,,101431
2709,OTHER (SPECIFY),,THRUSTING UPPER BODY IN AN AGGRESSIVE MANNER,101432
2710,HANDS/FISTS,,,101434
2711,"MOUTH (SPIT,BITE,ETC)",,,101435
2712,VERBAL THREAT (ASSAULT),,,101437
2713,OTHER (SPECIFY),,OPEN HAND STRIKE TO CHEST,101444
2714,HANDS/FISTS,,,101447
2715,VERBAL THREAT (ASSAULT),,,101447
2716,HANDS/FISTS,,,101449
2717,VERBAL THREAT (ASSAULT),,,101449
2718,HANDS/FISTS,,,101450
2719,HANDS/FISTS,,,101451
2720,FIREARM - SEMI-AUTOMATIC, 9 MM,,101452
2721,HANDS/FISTS,,,101454
2722,FIREARM - SEMI-AUTOMATIC, 9 MM,GLOCK 19,101460
2723,FIREARM - SEMI-AUTOMATIC, 9 MM,GLOCK,101461
2724,"MOUTH (SPIT,BITE,ETC)",,,101464
2725,FIREARM - REVOLVER, 38 CAL,,101467
2726,FIREARM - SEMI-AUTOMATIC,380 ACP,,101468
2727,FIREARM - SEMI-AUTOMATIC,380 ACP,,101469
2728,FIREARM - SEMI-AUTOMATIC,380 ACP,,101470
2729,FIREARM - SEMI-AUTOMATIC,OTHER,,101480
2730,FIREARM - SEMI-AUTOMATIC,40 S&W,,101481
2731,FIREARM - SEMI-AUTOMATIC,40 S&W,,101482
2732,FIREARM - SEMI-AUTOMATIC,32 CAL,,101490
2733,FIREARM - SEMI-AUTOMATIC,32 CAL,,101491
2734,"MOUTH (SPIT,BITE,ETC)",,,101492
2735,HANDS/FISTS,,,101493
2736,FEET,,,101494
2737,HANDS/FISTS,,,101494
2738,VERBAL THREAT (ASSAULT),,,101494
2739,FIREARM - SEMI-AUTOMATIC,40 S&W,,101495
2740,"MOUTH (SPIT,BITE,ETC)",,,101497
2741,FEET,,,101500
2742,HANDS/FISTS,,,101500
2743,OTHER (SPECIFY),,KICK TO LEFT LEG,101500
2744,VERBAL THREAT (ASSAULT),,,101500
2745,HANDS/FISTS,,,101501
2746,VERBAL THREAT (ASSAULT),,,101501
2747,VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,,101506
2748,OTHER (SPECIFY),,OFFENDER VEHICLE STRUCK OFFICER COVERT VEHICLE,101507
2749,FEET,,,101508
2750,OTHER (SPECIFY),,ATTEMPT DISARM TASER,101514
2751,VERBAL THREAT (ASSAULT),,,101514
2752,HANDS/FISTS,,,101515
2753,FIREARM - SEMI-AUTOMATIC, 9 MM,,101519
2754,FIREARM - SEMI-AUTOMATIC,40 S&W,GLOCK 22,101522
2755,OTHER (SPECIFY),,MOVED TOWARDS GUN,101528
2756,VERBAL THREAT (ASSAULT),,,101536
2757,FIREARM - SEMI-AUTOMATIC, 9 MM,RUGER P95,101546
2758,HANDS/FISTS,,,101550
2759,VERBAL THREAT (ASSAULT),,,101550
2760,VERBAL THREAT (ASSAULT),,,101551
2761,HANDS/FISTS,,,101552
2762,VERBAL THREAT (ASSAULT),,,101552
2763,"MOUTH (SPIT,BITE,ETC)",,,101555
2764,VERBAL THREAT (ASSAULT),,,101555
2765,KNIFE/OTHER CUTTING INSTRUMENT,,STEAK KNIFE,101557
2766,FEET,,,101558
2767,HANDS/FISTS,,,101558
2768,"MOUTH (SPIT,BITE,ETC)",,,101558
2769,HANDS/FISTS,,,101559
2770,"MOUTH (SPIT,BITE,ETC)",,,101559
2771,HANDS/FISTS,,,101561
2772,VERBAL THREAT (ASSAULT),,,101561
2773,HANDS/FISTS,,,101565
2774,VERBAL THREAT (ASSAULT),,,101565
2775,VERBAL THREAT (ASSAULT),,,101566
2776,OTHER (SPECIFY),,2IN X1IN PEBBLE POND ROCKS ,101568
2777,OTHER (SPECIFY),,ROCK THROWING AT OFFICER ,101568
2778,"MOUTH (SPIT,BITE,ETC)",,,101571
2779,OTHER (SPECIFY),,BITE,101571
2780,OTHER (SPECIFY),,BLACK BATON,101571
2781,HANDS/FISTS,,,101575
2782,FIREARM - SEMI-AUTOMATIC,40 S&W,,101579
2783,FIREARM - SEMI-AUTOMATIC,40 S&W,,101580
2784,FIREARM - SEMI-AUTOMATIC,40 S&W,,101581
2785,KNIFE/OTHER CUTTING INSTRUMENT,,8 INCH KITCHEN KNIFE,101582
2786,FEET,,,101584
2787,"MOUTH (SPIT,BITE,ETC)",,,101584
2788,BLUNT INSTRUMENT,,,101596
2789,HANDS/FISTS,,,101598
2790,OTHER (SPECIFY),,CHARGING WITH BODY,101598
2791,FEET,,,101599
2792,HANDS/FISTS,,,101599
2793,HANDS/FISTS,,,101600
2794,"MOUTH (SPIT,BITE,ETC)",,,101617
2795,FEET,,,101618
2796,HANDS/FISTS,,,101618
2797,"MOUTH (SPIT,BITE,ETC)",,,101618
2798,FEET,,,101619
2799,HANDS/FISTS,,,101619
2800,"MOUTH (SPIT,BITE,ETC)",,,101619
2801,VERBAL THREAT (ASSAULT),,,101619
2802,FEET,,,101620
2803,HANDS/FISTS,,,101620
2804,"MOUTH (SPIT,BITE,ETC)",,,101620
2805,VERBAL THREAT (ASSAULT),,,101620
2806,HANDS/FISTS,,,101624
2807,"MOUTH (SPIT,BITE,ETC)",,,101624
2808,HANDS/FISTS,,,101625
2809,VERBAL THREAT (ASSAULT),,,101632
2810,FEET,,,101633
2811,VERBAL THREAT (ASSAULT),,,101637
2812,VERBAL THREAT (ASSAULT),,,101638
2813,HANDS/FISTS,,,101639
2814,"MOUTH (SPIT,BITE,ETC)",,,101640
2815,OTHER (SPECIFY),,HEAD,101640
2816,VERBAL THREAT (ASSAULT),,,101640
2817,FEET,,,101649
2818,VERBAL THREAT (ASSAULT),,,101649
2819,FEET,,,101650
2820,VERBAL THREAT (ASSAULT),,,101650
2821,HANDS/FISTS,,,101658
2822,HANDS/FISTS,,,101666
2823,OTHER (SPECIFY),,HEAD BUTT,101668
2824,FEET,,,101669
2825,HANDS/FISTS,,,101669
2826,VERBAL THREAT (ASSAULT),,,101669
2827,FEET,,,101672
2828,HANDS/FISTS,,,101672
2829,VERBAL THREAT (ASSAULT),,,101672
2830,FEET,,,101675
2831,OTHER (SPECIFY),,ATTEMPTED TO KICK THE R/O,101675
2832,VERBAL THREAT (ASSAULT),,,101675
2833,HANDS/FISTS,,,101678
2834,HANDS/FISTS,,,101683
2835,OTHER (SPECIFY),,PERCIEVED WEAPON,101689
2836,FEET,,,101692
2837,VERBAL THREAT (ASSAULT),,,101693
2838,VERBAL THREAT (ASSAULT),,,101694
2839,HANDS/FISTS,,,101698
2840,FIREARM - REVOLVER, 38 CAL,,101701
2841,FIREARM - REVOLVER, 38 CAL,,101702
2842,VERBAL THREAT (ASSAULT),,,101705
2843,"MOUTH (SPIT,BITE,ETC)",,,101718
2844,"MOUTH (SPIT,BITE,ETC)",,,101719
2845,HANDS/FISTS,,,101721
2846,OTHER (SPECIFY),,HEAD-BUTT,101724
2847,"MOUTH (SPIT,BITE,ETC)",,,101727
2848,OTHER (SPECIFY),,SUBJECT TRIED TO SPIT ON R/SGT,101727
2849,VERBAL THREAT (ASSAULT),,,101727
2850,FIREARM - SEMI-AUTOMATIC, 9 MM,,101733
2851,HANDS/FISTS,,,101733
2852,FEET,,,101742
2853,HANDS/FISTS,,,101743
2854,VERBAL THREAT (ASSAULT),,,101743
2855,HANDS/FISTS,,,101744
2856,OTHER (SPECIFY),,OFFENDER GRABBED AND PUSHED OFFICER,101746
2857,HANDS/FISTS,,,101750
2858,FEET,,,101751
2859,HANDS/FISTS,,,101751
2860,OTHER (SPECIFY),,VEHICLE,101755
2861,VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,,101755
2862,HANDS/FISTS,,,101765
2863,FIREARM - SEMI-AUTOMATIC, 9 MM,,101766
2864,HANDS/FISTS,,,101766
2865,FIREARM - SEMI-AUTOMATIC,40 S&W,,101767
2866,HANDS/FISTS,,,101770
2867,FIREARM - SEMI-AUTOMATIC, 9 MM,,101772
2868,FIREARM - SEMI-AUTOMATIC, 9 MM,,101773
2869,FEET,,,101775
2870,HANDS/FISTS,,,101775
2871,"MOUTH (SPIT,BITE,ETC)",,,101775
2872,VERBAL THREAT (ASSAULT),,,101775
2873,HANDS/FISTS,,,101777
2874,FIREARM - SEMI-AUTOMATIC,45 CAL,GLOCK 36,101782
2875,FIREARM - SEMI-AUTOMATIC,45 CAL,,101783
2876,FIREARM - SEMI-AUTOMATIC,45 CAL,,101784
2877,HANDS/FISTS,,,101784
2878,HANDS/FISTS,,,101786
2879,HANDS/FISTS,,,101787
2880,VERBAL THREAT (ASSAULT),,,101791
2881,HANDS/FISTS,,,101792
2882,HANDS/FISTS,,,101795
2883,"MOUTH (SPIT,BITE,ETC)",,,101795
2884,VERBAL THREAT (ASSAULT),,,101795
2885,HANDS/FISTS,,,101800
2886,VERBAL THREAT (ASSAULT),,,101822
2887,VERBAL THREAT (ASSAULT),,,101823
2888,VERBAL THREAT (ASSAULT),,,101824
2889,HANDS/FISTS,,,101826
2890,VERBAL THREAT (ASSAULT),,,101826
2891,VERBAL THREAT (ASSAULT),,,101827
2892,FEET,,,101845
2893,HANDS/FISTS,,,101845
2894,VERBAL THREAT (ASSAULT),,,101847
2895,OTHER (SPECIFY),,BALLED UP FIST,101854
2896,VERBAL THREAT (ASSAULT),,,101854
2897,VERBAL THREAT (ASSAULT),,,101856
2898,FIREARM - SEMI-AUTOMATIC, 9 MM,,101857
2899,FIREARM - SEMI-AUTOMATIC, 9 MM,,101858
2900,FIREARM - SEMI-AUTOMATIC,380 ACP,,101859
2901,FIREARM - SEMI-AUTOMATIC,380 ACP,,101860
2902,VERBAL THREAT (ASSAULT),,,101864
2903,VERBAL THREAT (ASSAULT),,,101866
2904,OTHER (SPECIFY),,LUNGED AT R/O,101873
2905,VERBAL THREAT (ASSAULT),,,101877
2906,VERBAL THREAT (ASSAULT),,,101878
2907,FEET,,,101879
2908,"MOUTH (SPIT,BITE,ETC)",,,101879
2909,HANDS/FISTS,,,101881
2910,VERBAL THREAT (ASSAULT),,,101881
2911,HANDS/FISTS,,,101882
2912,HANDS/FISTS,,,101896
2913,VERBAL THREAT (ASSAULT),,,101897
2914,VERBAL THREAT (ASSAULT),,,101898
2915,FIREARM - SEMI-AUTOMATIC, 9 MM,,101905
2916,OTHER (SPECIFY),,ELBOW,101907
2917,FEET,,,101908
2918,HANDS/FISTS,,,101908
2919,OTHER (SPECIFY),,HEAD BUTT,101908
2920,FEET,,,101909
2921,HANDS/FISTS,,,101909
2922,OTHER (SPECIFY),,HEAD,101909
2923,FIREARM - SEMI-AUTOMATIC,40 S&W,,101910
2924,FEET,,,101911
2925,HANDS/FISTS,,,101911
2926,OTHER (SPECIFY),,HEAD BUTT,101911
2927,FIREARM - SEMI-AUTOMATIC,40 S&W,,101915
2928,OTHER (SPECIFY),,FIREARM,101915
2929,VERBAL THREAT (ASSAULT),,,101916
2930,VERBAL THREAT (ASSAULT),,,101917
2931,VEHICLE - OFFICER STRUCK WITH VEHICLE,,,101920
2932,FIREARM - SEMI-AUTOMATIC,40 S&W,,101921
2933,OTHER (SPECIFY),,FIREARM,101922
2934,HANDS/FISTS,,,101925
2935,"MOUTH (SPIT,BITE,ETC)",,,101932
2936,FEET,,,101935
2937,OTHER (SPECIFY),,LUNGED TOWARDS,101946
2938,FIREARM - REVOLVER,22 LR,TAURUS,101948
2939,HANDS/FISTS,,,101950
2940,VERBAL THREAT (ASSAULT),,,101955
2941,HANDS/FISTS,,,101956
2942,HANDS/FISTS,,,101958
2943,FEET,,,101959
2944,FEET,,,101960
2945,FEET,,,101961
2946,VERBAL THREAT (ASSAULT),,,101961
2947,FIREARM - SEMI-AUTOMATIC, 9 MM,,101963
2948,HANDS/FISTS,,,101986
2949,OTHER (SPECIFY),,PUSHED P.O. SALGADO,101986
2950,VERBAL THREAT (ASSAULT),,,101986
2951,HANDS/FISTS,,,101987
2952,FEET,,,101988
2953,HANDS/FISTS,,,101988
2954,"MOUTH (SPIT,BITE,ETC)",,,101988
2955,VERBAL THREAT (ASSAULT),,,101988
2956,FEET,,,101989
2957,HANDS/FISTS,,,101989
2958,VERBAL THREAT (ASSAULT),,,101989
2959,VERBAL THREAT (ASSAULT),,,101991
2960,VERBAL THREAT (ASSAULT),,,101992
2961,FEET,,,102007
2962,HANDS/FISTS,,,102007
2963,VERBAL THREAT (ASSAULT),,,102007
2964,FEET,,,102008
2965,HANDS/FISTS,,,102008
2966,VERBAL THREAT (ASSAULT),,,102008
2967,HANDS/FISTS,,,102018
2968,FEET,,,102021
2969,HANDS/FISTS,,,102021
2970,HANDS/FISTS,,,102037
2971,HANDS/FISTS,,,102040
2972,FEET,,,102042
2973,HANDS/FISTS,,,102042
2974,OTHER (SPECIFY),,HANDS/FISTS,102042
2975,OTHER (SPECIFY),,JUMPED ON OFFICER TO THE GROUND,102052
2976,VERBAL THREAT (ASSAULT),,,102052
2977,FIREARM - SEMI-AUTOMATIC,40 S&W,,102055
2978,FEET,,,102058
2979,VERBAL THREAT (ASSAULT),,,102059
2980,VERBAL THREAT (ASSAULT),,,102060
2981,VERBAL THREAT (ASSAULT),,,102061
2982,"MOUTH (SPIT,BITE,ETC)",,,102063
2983,VERBAL THREAT (ASSAULT),,,102064
2984,"MOUTH (SPIT,BITE,ETC)",,,102077
2985,VERBAL THREAT (ASSAULT),,,102077
2986,"MOUTH (SPIT,BITE,ETC)",,,102078
2987,VERBAL THREAT (ASSAULT),,,102078
2988,KNIFE/OTHER CUTTING INSTRUMENT,,,102079
2989,HANDS/FISTS,,,102083
2990,HANDS/FISTS,,,102088
2991,KNIFE/OTHER CUTTING INSTRUMENT,,,102090
2992,FIREARM - SEMI-AUTOMATIC,40 S&W,,102092
2993,HANDS/FISTS,,,102092
2994,"MOUTH (SPIT,BITE,ETC)",,,102099
2995,HANDS/FISTS,,,102103
2996,VERBAL THREAT (ASSAULT),,,102103
2997,OTHER (SPECIFY),,ARRMED W KNIFE,102104
2998,OTHER (SPECIFY),,BRANDISHING KNIFE ,102105
2999,KNIFE/OTHER CUTTING INSTRUMENT,,,102106
3000,OTHER (SPECIFY),,ARMED WITH KNIFE,102106
3001,KNIFE/OTHER CUTTING INSTRUMENT,,,102107
3002,FIREARM - REVOLVER, 38 CAL,,102108
3003,OTHER (SPECIFY),,ATTEMPTED TO DISARM R/O OF ASP,102118
3004,OTHER (SPECIFY),,BODY BLOCK/CHARGE,102120
3005,FEET,,,102121
3006,HANDS/FISTS,,,102121
3007,"MOUTH (SPIT,BITE,ETC)",,,102122
3008,HANDS/FISTS,,,102125
3009,FIREARM - SEMI-AUTOMATIC,40 S&W,,102142
3010,FIREARM - SEMI-AUTOMATIC, 9 MM,,102156
3011,OTHER (SPECIFY),,PUSHED AWAY WHILE ARMED,102156
3012,FIREARM - SEMI-AUTOMATIC,380 ACP,,102157
3013,HANDS/FISTS,,,102158
3014,"MOUTH (SPIT,BITE,ETC)",,,102158
3015,VERBAL THREAT (ASSAULT),,,102158
3016,"MOUTH (SPIT,BITE,ETC)",,,102160
3017,VERBAL THREAT (ASSAULT),,,102160
3018,VERBAL THREAT (ASSAULT),,,102161
3019,FEET,,,102162
3020,"MOUTH (SPIT,BITE,ETC)",,,102162
3021,FEET,,,102163
3022,"MOUTH (SPIT,BITE,ETC)",,,102163
3023,FEET,,,102164
3024,"MOUTH (SPIT,BITE,ETC)",,,102164
3025,FEET,,,102165
3026,HANDS/FISTS,,,102165
3027,"MOUTH (SPIT,BITE,ETC)",,,102165
3028,VERBAL THREAT (ASSAULT),,,102165
3029,FEET,,,102166
3030,HANDS/FISTS,,,102166
3031,"MOUTH (SPIT,BITE,ETC)",,,102166
3032,VERBAL THREAT (ASSAULT),,,102166
3033,OTHER (SPECIFY),,CLINCHED FIST APPROACHING A/O,102170
3034,VERBAL THREAT (ASSAULT),,,102170
3035,OTHER (SPECIFY),,CLENCHED FISTS,102171
3036,VERBAL THREAT (ASSAULT),,,102171
3037,OTHER (SPECIFY),,METAL BROOM HANDEL,102173
3038,HANDS/FISTS,,,102178
3039,OTHER (SPECIFY),,SQUARED UP WITH NOT SHOWING HANDS,102178
3040,HANDS/FISTS,,,102182
3041,HANDS/FISTS,,,102183
3042,HANDS/FISTS,,,102185
3043,VERBAL THREAT (ASSAULT),,,102185
3044,HANDS/FISTS,,,102193
3045,VERBAL THREAT (ASSAULT),,,102193
3046,VERBAL THREAT (ASSAULT),,,102195
3047,OTHER (SPECIFY),,KNEE IN GROIN,102197
3048,FIREARM - SEMI-AUTOMATIC,40 S&W,,102205
3049,FEET,,,102206
3050,"MOUTH (SPIT,BITE,ETC)",,,102212
3051,OTHER (SPECIFY),,ATTEMPT KICKS FLAILED ARMS,102212
3052,HANDS/FISTS,,,102213
3053,FEET,,,102215
3054,HANDS/FISTS,,,102215
3055,HANDS/FISTS,,,102216
3056,"MOUTH (SPIT,BITE,ETC)",,,102216
3057,FEET,,,102217
3058,KNIFE/OTHER CUTTING INSTRUMENT,,KNIFE,102229
3059,KNIFE/OTHER CUTTING INSTRUMENT,,,102230
3060,HANDS/FISTS,,,102236
3061,HANDS/FISTS,,,102238
3062,OTHER (SPECIFY),,CLENCHED FISTS,102238
3063,VERBAL THREAT (ASSAULT),,,102238
3064,"MOUTH (SPIT,BITE,ETC)",,,102248
3065,VERBAL THREAT (ASSAULT),,,102249
3066,VERBAL THREAT (ASSAULT),,,102250
3067,FEET,,,102252
3068,HANDS/FISTS,,,102252
3069,FEET,,,102253
3070,HANDS/FISTS,,,102253
3071,FEET,,,102254
3072,HANDS/FISTS,,,102255
3073,OTHER (SPECIFY),,SEE NARRATIVE,102259
3074,"MOUTH (SPIT,BITE,ETC)",,,102270
3075,KNIFE/OTHER CUTTING INSTRUMENT,,,102272
3076,"MOUTH (SPIT,BITE,ETC)",,,102273
3077,OTHER (SPECIFY),,"HEADBUTTS, KNEE TO GROIN",102273
3078,VERBAL THREAT (ASSAULT),,,102273
3079,HANDS/FISTS,,,102274
3080,VERBAL THREAT (ASSAULT),,,102274
3081,KNIFE/OTHER CUTTING INSTRUMENT,,10 INCH KNIFE HONE,102276
3082,VERBAL THREAT (ASSAULT),,,102276
3083,OTHER (SPECIFY),,THREATEN WITH KNIFE HONE,102280
3084,VERBAL THREAT (ASSAULT),,,102280
3085,HANDS/FISTS,,,102281
3086,VERBAL THREAT (ASSAULT),,,102282
3087,FEET,,,102283
3088,HANDS/FISTS,,,102283
3089,OTHER (SPECIFY),,VERBAL THREATS,102283
3090,HANDS/FISTS,,,102285
3091,VERBAL THREAT (ASSAULT),,,102285
3092,VERBAL THREAT (ASSAULT),,,102286
3093,VERBAL THREAT (ASSAULT),,,102287
3094,FEET,,,102289
3095,VERBAL THREAT (ASSAULT),,,102289
3096,OTHER (SPECIFY),,PUSHED OFF VEHICLE ,102290
3097,VERBAL THREAT (ASSAULT),,,102292
3098,FEET,,,102310
3099,HANDS/FISTS,,,102310
3100,"MOUTH (SPIT,BITE,ETC)",,,102318
3101,OTHER (SPECIFY),,"PUSHED CHEST INTO PO, KICKED PO",102325
3102,FIREARM - SEMI-AUTOMATIC, 9 MM,,102327
3103,HANDS/FISTS,,,102327
3104,"MOUTH (SPIT,BITE,ETC)",,,102330
3105,OTHER (SPECIFY),,SPIT ON OFFICER,102330
3106,FEET,,,102331
3107,HANDS/FISTS,,,102333
3108,HANDS/FISTS,,,102339
3109,"MOUTH (SPIT,BITE,ETC)",,,102345
3110,VERBAL THREAT (ASSAULT),,,102349
3111,VERBAL THREAT (ASSAULT),,,102350
3112,VERBAL THREAT (ASSAULT),,,102351
3113,FEET,,,102355
3114,HANDS/FISTS,,,102358
3115,OTHER (SPECIFY),,BUMPED INTO A/O,102376
3116,FEET,,,102379
3117,HANDS/FISTS,,,102381
3118,HANDS/FISTS,,,102384
3119,OTHER (SPECIFY),,PULLED AWAY FLAILED ARMS,102384
3120,HANDS/FISTS,,,102385
3121,"MOUTH (SPIT,BITE,ETC)",,,102386
3122,HANDS/FISTS,,,102387
3123,OTHER (SPECIFY),,METAL POLE,102390
3124,OTHER (SPECIFY),,METAL POLE ,102391
3125,OTHER (SPECIFY),,METAL POLE,102392
3126,HANDS/FISTS,,,102395
3127,HANDS/FISTS,,,102396
3128,VERBAL THREAT (ASSAULT),,,102396
3129,HANDS/FISTS,,,102399
3130,HANDS/FISTS,,,102402
3131,FEET,,,102404
3132,HANDS/FISTS,,,102404
3133,OTHER (SPECIFY),,PUSHED A/O'S,102405
3134,FIREARM - RIFLE,22 LR,,102412
3135,HANDS/FISTS,,,102415
3136,VERBAL THREAT (ASSAULT),,,102415
3137,HANDS/FISTS,,,102416
3138,HANDS/FISTS,,,102418
3139,OTHER (SPECIFY),,SUBJECT ATTEMPT TO DEFEAT ARREST,102420
3140,HANDS/FISTS,,,102421
3141,OTHER (SPECIFY),,"ARMS UP, CLENCHED FIST, SIMILAR FIGHT STANCE ",102421
3142,FEET,,,102424
3143,HANDS/FISTS,,,102424
3144,HANDS/FISTS,,,102434
3145,"MOUTH (SPIT,BITE,ETC)",,,102434
3146,KNIFE/OTHER CUTTING INSTRUMENT,,,102441
3147,KNIFE/OTHER CUTTING INSTRUMENT,,,102443
3148,HANDS/FISTS,,,102452
3149,VERBAL THREAT (ASSAULT),,,102452
3150,VERBAL THREAT (ASSAULT),,,102454
3151,FIREARM - SEMI-AUTOMATIC,40 S&W,SMITH & WESSON SHIELD SERIAL #LER2367,102455
3152,FIREARM - SEMI-AUTOMATIC,40 S&W,SMITH & WESSON SHIELD SERIAL#LER2367,102456
3153,FIREARM - SEMI-AUTOMATIC,45 CAL,,102457
3154,FIREARM - REVOLVER, 38 CAL,,102459
3155,"MOUTH (SPIT,BITE,ETC)",,,102462
3156,FIREARM - SEMI-AUTOMATIC, 9 MM,,102470
3157,VERBAL THREAT (ASSAULT),,,102481
3158,VERBAL THREAT (ASSAULT),,,102484
3159,OTHER (SPECIFY),,SHOULDER,102487
3160,FEET,,,102488
3161,HANDS/FISTS,,,102488
3162,VERBAL THREAT (ASSAULT),,,102488
3163,OTHER (SPECIFY),,KNIFE,102494
3164,OTHER (SPECIFY),,PEPPER SPRAY,102495
3165,FEET,,,102498
3166,FEET,,,102499
3167,HANDS/FISTS,,,102502
3168,HANDS/FISTS,,,102505
3169,FIREARM - SEMI-AUTOMATIC,45 CAL,,102506
3170,FIREARM - SEMI-AUTOMATIC,45 CAL,,102507
3171,VERBAL THREAT (ASSAULT),,,102508
3172,HANDS/FISTS,,,102509
3173,HANDS/FISTS,,,102514
3174,"MOUTH (SPIT,BITE,ETC)",,,102515
3175,HANDS/FISTS,,,102517
3176,OTHER (SPECIFY),,LUNGED AT OFFICER'S NECK WITH BOTH ARMS,102517
3177,VERBAL THREAT (ASSAULT),,,102517
3178,FEET,,,102518
3179,HANDS/FISTS,,,102518
3180,"MOUTH (SPIT,BITE,ETC)",,,102518
3181,OTHER (SPECIFY),,HEAD,102527
3182,FIREARM - SEMI-AUTOMATIC,22 LR,,102528
3183,HANDS/FISTS,,,102533
3184,VERBAL THREAT (ASSAULT),,,102533
3185,HANDS/FISTS,,,102534
3186,VERBAL THREAT (ASSAULT),,,102534
3187,FEET,,,102536
3188,FEET,,,102537
3189,"MOUTH (SPIT,BITE,ETC)",,,102541
3190,"MOUTH (SPIT,BITE,ETC)",,,102542
3191,OTHER (SPECIFY),,SPAT IN P.O.'S FACE,102542
3192,HANDS/FISTS,,,102544
3193,FIREARM - SEMI-AUTOMATIC, 9 MM,,102552
3194,"MOUTH (SPIT,BITE,ETC)",,,102556
3195,HANDS/FISTS,,,102557
3196,VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,,102559
3197,"MOUTH (SPIT,BITE,ETC)",,,102560
3198,"MOUTH (SPIT,BITE,ETC)",,,102561
3199,VERBAL THREAT (ASSAULT),,,102561
3200,OTHER (SPECIFY),,"RESISTING, PULLED AWAY, ATTEMPTED TO BITE OFFICERS ON SCENE",102562
3201,HANDS/FISTS,,,102563
3202,"MOUTH (SPIT,BITE,ETC)",,,102563
3203,VERBAL THREAT (ASSAULT),,,102563
